dataset,trial,r2_train,r2_zero_test,seed,algorithm
485_analcatdata_vehicle,7,0.943802000855706,-0.0137039984441864,11964,AlpineGP
485_analcatdata_vehicle,8,0.946625569551883,0.6617345411768549,6265,AlpineGP
485_analcatdata_vehicle,9,0.9379076618826132,0.680167787429976,23654,AlpineGP
485_analcatdata_vehicle,10,0.9622637804325818,0.2909243770268368,11284,AlpineGP
659_sleuth_ex1714,1,0.9620369102851448,0.4105785326433411,29802,AlpineGP
659_sleuth_ex1714,2,0.9589154964077814,0.646124842021926,22118,AlpineGP
659_sleuth_ex1714,3,0.9561752962411112,0.6398525402028651,860,AlpineGP
659_sleuth_ex1714,4,0.9522813424147794,0.3412413606320706,15795,AlpineGP
659_sleuth_ex1714,5,0.962707665680603,0.2233532403414074,21575,AlpineGP
659_sleuth_ex1714,6,0.9678403941939268,0.6515478154329422,5390,AlpineGP
659_sleuth_ex1714,7,0.9676823719162304,0.8263233896544739,11964,AlpineGP
659_sleuth_ex1714,8,0.9726146536632576,0.6561069540419017,6265,AlpineGP
659_sleuth_ex1714,9,0.9738348310970906,-0.2385951694602794,23654,AlpineGP
659_sleuth_ex1714,10,0.9499115186777184,0.7864179137520314,11284,AlpineGP
527_analcatdata_election2000,1,0.999144300466917,0.9992466998816496,29802,AlpineGP
527_analcatdata_election2000,2,0.9990232530092272,0.9999001075256554,22118,AlpineGP
527_analcatdata_election2000,3,0.9982151774035286,0.9937212875652638,860,AlpineGP
527_analcatdata_election2000,4,0.9979184613781954,0.9950720047228612,15795,AlpineGP
527_analcatdata_election2000,5,0.997711501919464,0.9809805075037978,21575,AlpineGP
527_analcatdata_election2000,6,0.9997656762303844,0.994551192140566,5390,AlpineGP
527_analcatdata_election2000,7,0.9977647930464764,0.9956179204909892,11964,AlpineGP
527_analcatdata_election2000,8,0.996513739803008,0.990214315771051,6265,AlpineGP
527_analcatdata_election2000,9,0.9972831883429464,0.9885665336066448,23654,AlpineGP
527_analcatdata_election2000,10,0.9991493426875012,0.999529378889726,11284,AlpineGP
1029_LEV,1,0.5872529853782624,0.5212721255034967,29802,AlpineGP
1029_LEV,2,0.5803408080117349,0.5744328634052023,22118,AlpineGP
1029_LEV,3,0.5694484276328895,0.6029794154823833,860,AlpineGP
1029_LEV,4,0.6017076606135553,0.4904681694149332,15795,AlpineGP
1029_LEV,5,0.5826557993920591,0.5428220432198256,21575,AlpineGP
1029_LEV,6,0.5806463886657547,0.56211057019347,5390,AlpineGP
1029_LEV,7,0.5651272885449397,0.6029964668246919,11964,AlpineGP
1029_LEV,8,0.5993022713275101,0.4930589150203261,6265,AlpineGP
1029_LEV,9,0.5865546752769357,0.540012779297384,23654,AlpineGP
1029_LEV,10,0.5612777951379329,0.5930387108150912,11284,AlpineGP
503_wind,1,0.758204298518909,0.7403221553347749,29802,AlpineGP
503_wind,2,0.7525175316872789,0.776259805490631,22118,AlpineGP
503_wind,3,0.7707709718218825,0.7586059947006185,860,AlpineGP
503_wind,4,0.7596970214112952,0.7499614589885237,15795,AlpineGP
503_wind,5,0.7522739519822821,0.748354437152158,21575,AlpineGP
503_wind,6,0.7464641970609112,0.7414335032069322,5390,AlpineGP
503_wind,7,0.7654947587975579,0.7550459687027988,11964,AlpineGP
503_wind,8,0.7673569989011262,0.7593989633907888,6265,AlpineGP
503_wind,9,0.7611257905634856,0.7577338840794088,23654,AlpineGP
503_wind,10,0.7510961837671223,0.7263583386450764,11284,AlpineGP
556_analcatdata_apnea2,1,0.8924857330489271,0.8555924534221535,29802,AlpineGP
556_analcatdata_apnea2,2,0.8966277412132175,0.8682710193198631,22118,AlpineGP
556_analcatdata_apnea2,3,0.8820512114509321,0.8999901778725745,860,AlpineGP
556_analcatdata_apnea2,4,0.9032396374595304,0.8779837338117213,15795,AlpineGP
556_analcatdata_apnea2,5,0.8881803212748826,0.7604091101475944,21575,AlpineGP
556_analcatdata_apnea2,6,0.8639894875024338,0.9046203356365318,5390,AlpineGP
556_analcatdata_apnea2,7,0.8937876506094742,0.8204229596366518,11964,AlpineGP
556_analcatdata_apnea2,8,0.902198817487243,0.8786133070080472,6265,AlpineGP
556_analcatdata_apnea2,9,0.8802213751414354,0.8567929517686755,23654,AlpineGP
556_analcatdata_apnea2,10,0.9148210825491452,0.8442285641253703,11284,AlpineGP
192_vineyard,1,0.8860453664260614,0.569487960180405,29802,AlpineGP
192_vineyard,2,0.8538942425631917,0.6799424975071104,22118,AlpineGP
192_vineyard,3,0.8938656048653982,0.4513581655088128,860,AlpineGP
192_vineyard,4,0.8955416440230535,0.007861190007388,15795,AlpineGP
192_vineyard,5,0.8871713834196686,0.0025011453463441,21575,AlpineGP
192_vineyard,6,0.893175105244691,0.3894719485418711,5390,AlpineGP
192_vineyard,7,0.8179737339869741,0.4927080413780458,11964,AlpineGP
192_vineyard,8,0.8349110757448821,-1.4417843115431408,6265,AlpineGP
192_vineyard,9,0.854908288819932,0.6902110225917264,23654,AlpineGP
192_vineyard,10,0.880152789126311,0.4568034376173193,11284,AlpineGP
663_rabe_266,1,0.9963318773423951,0.994459095968284,29802,AlpineGP
663_rabe_266,2,0.9960449686025732,0.9951265003999672,22118,AlpineGP
663_rabe_266,3,0.9966286261213916,0.9951027571631572,860,AlpineGP
663_rabe_266,4,0.9977905446658922,0.9964136491124604,15795,AlpineGP
663_rabe_266,5,0.995829672166526,0.993203248165681,21575,AlpineGP
663_rabe_266,6,0.9956347362733132,0.9927044269661834,5390,AlpineGP
663_rabe_266,7,0.9957878590679023,0.9951743564833472,11964,AlpineGP
663_rabe_266,8,0.9966844579109548,0.994371086311904,6265,AlpineGP
663_rabe_266,9,0.9963026569250067,0.9961567437900436,23654,AlpineGP
663_rabe_266,10,0.996311236079154,0.9959438870119784,11284,AlpineGP
665_sleuth_case2002,1,0.5594544933713925,0.2955593939910983,29802,AlpineGP
665_sleuth_case2002,2,0.5901383907963837,0.2563266716620761,22118,AlpineGP
665_sleuth_case2002,3,0.5652805313658481,0.2255466969539411,860,AlpineGP
665_sleuth_case2002,4,0.5722498106188944,0.1797879066319954,15795,AlpineGP
665_sleuth_case2002,5,0.5758851687890956,0.206409978764278,21575,AlpineGP
665_sleuth_case2002,6,0.6265079810045169,0.0130186642716534,5390,AlpineGP
665_sleuth_case2002,7,0.5566221239054032,0.2363791194039715,11964,AlpineGP
665_sleuth_case2002,8,0.538629165722547,0.30018939943166,6265,AlpineGP
665_sleuth_case2002,9,0.5392273921309418,0.2847846678760697,23654,AlpineGP
665_sleuth_case2002,10,0.5674052728085581,-0.0415635080343066,11284,AlpineGP
1027_ESL,1,0.8753645951624209,0.846087837941565,29802,AlpineGP
1027_ESL,2,0.870264736350579,0.8771378373488624,22118,AlpineGP
1027_ESL,3,0.8678216862203527,0.871870781584582,860,AlpineGP
1027_ESL,4,0.8675549748924056,0.8914273717392174,15795,AlpineGP
1027_ESL,5,0.8748573940771187,0.8485909011368412,21575,AlpineGP
1027_ESL,6,0.8700700411855407,0.8595906267974381,5390,AlpineGP
1027_ESL,7,0.8738822726401071,0.8634099665240205,11964,AlpineGP
1027_ESL,8,0.8721877704225705,0.872160969288333,6265,AlpineGP
1027_ESL,9,0.8695745715361806,0.8737516499146455,23654,AlpineGP
1027_ESL,10,0.8830058797136986,0.8111006846465045,11284,AlpineGP
230_machine_cpu,1,0.9501187421626498,0.929499413457876,29802,AlpineGP
230_machine_cpu,2,0.9507818113490428,0.8807016913181371,22118,AlpineGP
230_machine_cpu,3,0.9590225325051416,0.875532077107793,860,AlpineGP
230_machine_cpu,4,0.9561233307198378,0.8765719930772033,15795,AlpineGP
230_machine_cpu,5,0.9435808285599024,0.7302057629197107,21575,AlpineGP
230_machine_cpu,6,0.954553015501274,0.9687572950370668,5390,AlpineGP
230_machine_cpu,7,0.9711028028886384,0.4611175579548211,11964,AlpineGP
230_machine_cpu,8,0.9465553199692304,0.6512020154180587,6265,AlpineGP
230_machine_cpu,9,0.953298010750294,0.9302389260154456,23654,AlpineGP
230_machine_cpu,10,0.9536194114522024,0.858342921175424,11284,AlpineGP
1089_USCrime,1,0.9693675667013852,0.8031773520277082,29802,AlpineGP
1089_USCrime,2,0.949099048435283,0.4488521657933715,22118,AlpineGP
1089_USCrime,3,0.9654393155242166,0.5641559728420047,860,AlpineGP
1089_USCrime,4,0.9566777633242884,0.6199398999716499,15795,AlpineGP
1089_USCrime,5,0.9505046569827398,0.8096972942355509,21575,AlpineGP
1089_USCrime,6,0.9619008345807348,0.6844147129777766,5390,AlpineGP
1089_USCrime,7,0.9737045176389436,0.6313738190258922,11964,AlpineGP
1089_USCrime,8,0.9663373784564272,0.505709134522603,6265,AlpineGP
1089_USCrime,9,0.9587652382025268,0.6577300745426773,23654,AlpineGP
1089_USCrime,10,0.9553745109137224,0.7297028695789514,11284,AlpineGP
561_cpu,1,0.9886313401548638,0.984610218392496,29802,AlpineGP
561_cpu,2,0.9894820101572538,0.979142963805558,22118,AlpineGP
561_cpu,3,0.9913227070811426,0.968488342947793,860,AlpineGP
561_cpu,4,0.9954305605698172,0.991546013306462,15795,AlpineGP
561_cpu,5,0.9923159988299732,0.9276269891531452,21575,AlpineGP
561_cpu,6,0.9890980403072968,0.966779310742758,5390,AlpineGP
561_cpu,7,0.99467800860592,0.9702670585926866,11964,AlpineGP
561_cpu,8,0.9940661830235128,0.8646562916789242,6265,AlpineGP
561_cpu,9,0.9938862835850296,0.9804885133300346,23654,AlpineGP
561_cpu,10,0.994138169085768,0.9950517795443584,11284,AlpineGP
